name,operator,address,latitude,longitude,capacity_mw,capacity_type,capacity_source,status,connection_voltage,verification_status,last_updated,report_url
AirTrunk Johor Bahru - JHB2,AirTrunk,"within Johor Bahru, 79200 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/airtrunk-johor-bahru-jhb2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
AirTrunk Johor Bahru - JHB3,AirTrunk,"within Iskandar Puteri, 79200",,,138,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/airtrunk-johor-bahru-jhb3/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
AirTrunk Johor Bahru - JHB4,AirTrunk,"within Iskandar Puteri, 79200",,,142,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/airtrunk-johor-bahru-jhb4/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
YTL Johor Data Center 1,YTL Data Center Holdings Pte. Ltd.,"Kulai, 81000",,,72,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/ytl-johor-data-center-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
YTL Johor Data Center 2,YTL Data Center Holdings Pte. Ltd.,"Kulai, 81000",,,20,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/ytl-johor-data-center-2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
YTL Johor Data Center 3,YTL Data Center Holdings Pte. Ltd.,"Kulai, 81000",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/ytl-johor-data-center-3/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
YTL Johor Data Center 6,YTL Data Center Holdings Pte. Ltd.,"Kulai, 81000",,,40,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/ytl-johor-data-center-6/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
YTL Johor Data Center Park,YTL Data Center Holdings Pte. Ltd.,"Kulai, 81000",,,600,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/ytl-johor-data-center-park/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Empyrion Digital MY1,Empyrion Digital,"i-TechValley Industrial Park, Persiaran Bioteknologi, 79200 Gelang Patah",,,200,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/empyrion-my1-nusajaya-data-center/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
ZDATA Johor GP3,"ZDATA Technologies Co., Ltd.","Jalan Bayu 4, Nusajaya Industrial Park 2, 79250 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/computility-technology-johor/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
VADS Iskandar Puteri,VADS Berhad,"Lingkaran, No.2, Jln Teknologi Perintis 1, 79250 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/vads-iskandar-puteri/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS Cyberport,VADS Berhad,"Level 12-07A and 16-01, Menara MSC Cyberport 5, Jalan Bukit Meldrum, 80300 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/vads-cyberport/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS Johor Baru,VADS Berhad,"Ibusawat Telekom Johor Bahru, Jalan Abdullah Ibrahim, 80672 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/vads-johor-bahru/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS Medini Data Centre,VADS Berhad,"LG-007 & LG-008 Seri Medini No 7, Persiaran Ledang Height, 81560 Nusajaya",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/vads-medini-data-centre/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
BDC MY06,Bridge Data Centres,"17 Jalan Digital 7, Sedenak Tech Park, 81000 Kulai",,,100,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/bdc-my06/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
DayOne Nusajaya Tech Park Campus,DayOne,"3, Lingkaran, Jl Teknologi Perintis 1, 79200 Iskandar Puteri",,,69.5,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/gds-nusajaya-tech-park-campus/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
DayOne Nusajaya Tech Park NTP1,DayOne,"3, Lingkaran, Jl Teknologi Perintis 1, 79200 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/gds-nusajaya-tech-park-ntp1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
DayOne Nusajaya Tech Park NTP2,DayOne,"3, Lingkaran, Jl Teknologi Perintis 1, 79200 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/gds-nusajaya-tech-park-ntp2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
DayOne Nusajaya Tech Park NTP3,DayOne,"3, Lingkaran, Jl Teknologi Perintis 1, 79200 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/gds-nusajaya-tech-park-ntp3/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
DayOne Gerbang Nusajaya,DayOne,"Jl. Tanjung Kupang, 81550 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/dayone-gerbang-nusajaya/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
DayOne Kempas Tech Park,DayOne,"81330, Jalan Kempas Lama, 81300 Johor",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/dayone-kempas-tech-park/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
STACK Infrastructure JHB01 Campus,STACK INFRASTRUCTURE,"Jalan Silc 1/5, 81550 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/stack-infrastructure-jhb01-campus/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
STACK Infrastructure JHB01A,STACK INFRASTRUCTURE,"Jalan Silc 1/5, 81550 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/stack-infrastructure-jhb01a/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
STACK Infrastructure JHB01B,STACK INFRASTRUCTURE,"Jalan Silc 1/5, 81550 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/stack-infrastructure-jhb01b/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
K2 Data Centres - Kulai,K2 Data Centres,"PTD 31493, Jl Digital 8, 82100 Kulai",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/k2-sedenak-tech-park/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
TM Iskandar Puteri Data Centre (IPDC),TM Global,"2, Lingkaran, Jalan Teknologi Perintis 1, 79250 Iskandar Puteri",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/tm-iskandar-puteri-data-centre-ipdc/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
MSFusion Sdn Bhd,MegaSpeed,"Bandar Cemerlang Industrial Park, 81800 Kota Tinggi",,,300,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/msfusion-sdn-bhd/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
DAMAC Digital JHB01,DAMAC Digital,"2, Persiaran Mega, 81550 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/damac-digital-jhb01/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Microsoft Nusa Cemerlang Industrial Park,Microsoft,"Nusa Cemerlang Industrial Park, 81550 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/micrsofot-nusa-cemerlang-industrial-park/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Microsoft Kulai,Microsoft,"Eco Business Park VI, 81000 Kulai",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/microsoft-kulai/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Global Switch Johor,Global Switch,"Kulai, 82100",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/global-switch-johor/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Digital Halo JHB1,Digital Halo Data Center,"Nusa Cemerlang Industrial Park, 81550 Iskandar Puteri",,,150,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/digital-halo-jhb1/ (listing, fetched 2026-08-26)",under construction,,needs review,2026-08-26,
Digital Edge - Johor BCIP,Digital Edge DC,"Bandar Cemerlang Industrial Park, 81800 Kota Tinggi",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/digital-edge-johor-bcip/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
IP ServerOne - Cyberjaya CJ1 (KUL11),IP ServerOne Solutions Sdn Bhd,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/cj1-data-center/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 1 Data Center,"NTT DATA, Inc.","43000 Jalan APEC, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/ntt-cyberjaya-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 2 Data Center,"NTT DATA, Inc.","Cyberjaya, 63000 Selangor (directory address unreliable — verify)",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/cyberjaya-2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 3 Data Center,"NTT DATA, Inc.","Cyberjaya, 63000 Selangor (directory address unreliable — verify)",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/malaysia-cyberjaya-3/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 4 Data Center,"NTT DATA, Inc.","43000, Persiaran APEC, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/ntt-cyberjaya-4/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 5 Data Center,"NTT DATA, Inc.","Persiaran Multimedia, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/ntt-cyberjaya-5/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC - Cyberjaya 6 Data Center,"NTT DATA, Inc.","Persiaran Multimedia, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/ntt-cyberjaya-6/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Equinix KL1,Equinix,"No. 2, Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/equinix-kl1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Equinix KL2,Equinix,"Persiaran Rimba Permai, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/equinix-kl2/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Basis Bay Cyberjaya DC.1,Basis Bay SDN BHD,"4710 Jalan Cyber Point 5, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/basis-bay/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Basis Bay Cyberjaya DC.2,Basis Bay SDN BHD,"Jalan Cyber Point 3, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/stt-cyberjaya-dc2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Jalan Teknokrat 8 (KUL11),Digital Realty,"Lot 23586, Jalan Teknokrat 8, Cyber 5, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/infinaxis-cyberjaya-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
"3552, Jalan Teknokrat 6 (KUL10)",Digital Realty,"3552, Jalan Teknokrat 6, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/cx1-data-center/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
STT Kuala Lumpur 1,ST Telemedia Global Data Centres,"within Cyberjaya, 63000",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/stt-kuala-lumpur-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
EdgeConneX Cyberjaya -KUL03,EdgeConneX,"Persiaran APEC, Cyber 8, 47100 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/edgeconnex-cyberjaya/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
PLTPRO Cyberjaya,PLTPro Data Center Sdn Bhd,"West Wing, CX2 Computer Exchange, 7118 Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/dci-cyberjaya/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
TelcoHubX,Velo Technologies Sdn Bhd,"CSF CX1, 3552, Jalan Teknokrat 6, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/telcohub-x1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS CBJ1,VADS Berhad,"Lingkaran Usahawan 1 Timur, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/cbj1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS CBJ2,VADS Berhad,"Level 2, Bangunan TM CBJ Unit 2 Jalan Lingkaran Fauna, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vads-cbj2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS CBJ5,VADS Berhad,"CSF Computer Exchange, 3552 Jalan Teknokrat 6, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vads-cbj5/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS CBJ6 (CX2),VADS Berhad,"CX2 Computer Exchange, 7118 Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vads-cbj6/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
VADS CBJ8,VADS Berhad,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vads-cbj8/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
AIMS Cyberjaya,AIMS Data Centre,"Jalan Teknokrat 1/2, Cyber 3, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/aims-cyberjaya/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
AIMS Cyberjaya CJ1,AIMS Data Centre,"Jalan Cyber Point 2, Cyber 8, 63000 Dengkil",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/aims-cyberjaya-cj1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
BDC MY01,Bridge Data Centres,"7118 Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/bdc-my01/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
BDC MY02,Bridge Data Centres,"Jalan Cyber Point 2, Cyber 12, 63000 Cyberjaya",,,15,estimated,"https://www.datacentermap.com/malaysia/cyberjaya/bdc-my02/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Vantage KUL1 - Cyberjaya I Campus,Vantage Data Centers,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vantage-kul1-cyberjaya-i-campus/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Vantage KUL1 - Building 1,Vantage Data Centers,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vantage-kul1-building-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Vantage KUL1 - Building 2,Vantage Data Centers,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vantage-kul1-building-2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Vantage KUL1 - Building 3,Vantage Data Centers,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/vantage-kul1-building-3/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Open DC - CJ1,Open DC,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/open-dc-cj1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
MY01 (Hitachi Sunway),Hitachi Sunway Data Centre Services Sdn Bhd,"7118, CX2 Computer Exchange, Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/my01/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
FREENET Malaysia Data Centre - CX2,Hitachi Sunway Data Centre Services Sdn Bhd,"Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/freenet-cx2-data-center/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
FREENET Malaysia Data Center - CSQ1,Hitachi Sunway Data Centre Services Sdn Bhd,"G06, Block 2310, Jalan Usahawan, Century Square, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/freenet-malaysia/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
SKALI Cyberjaya,SKALI,"3552 Jalan Teknokrat 6, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/skali-cx2-cx5/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
CX2 Data Center,CSF Group,"7118 Jalan Impact, 63000 Cyberjaya",,,,,"https://www.datacentermap.com/malaysia/cyberjaya/cx2-datacenter/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Digital Cosmos Cyberjaya,Digital Cosmos (S) Pte. Ltd.,"Jln Hj. Omar, 43000 Kajang",,,182,estimated,"https://www.datacentermap.com/malaysia/cyberjaya/digital-cosmos-cyberjaya/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
